participantID,wordSetID,rt,word,button_pressed,response_r,response_g,response_b,response_munsell,trial_index,time_elapsed,condition
448,1,4415.959999998566,discomfort,78,75,41,23,5YR2/4,33,1215274,block1_target_trial
489,1,1986.9999999646095,freedom,47,54,142,15,10GY5/12,91,482075,block2_target_trial
588,1,3312.2699999948964,misconception,36,136,152,0,5GY6/10,85,276191,block2_target_trial
491,1,2956.904999911785,freedom,28,99,185,228,10B7/8,117,853465,block2_target_trial
77,1,3228.2649999833666,regret,38,0,173,154,5BG6/10,27,153047,block1_target_trial
448,1,3317.8900000057183,toast,45,170,103,0,10YR5/10,34,1219097,block1_target_trial
489,1,1404.0000000968575,shyness,63,132,71,157,5P4/12,93,486164,block2_target_trial
482,1,2608.1800000101794,elegance,19,211,197,223,5P8/4,115,400111,block2_target_trial
588,1,1945.1199999894015,panther,79,56,49,32,5Y2/2,87,281398,block2_target_trial
271,1,6667.1600000117905,communication,23,244,150,0,10YR7/14,62,339718,block2_target_trial
448,1,3253.010000000242,noun,54,136,137,135,N5,35,1222862,block1_target_trial
491,1,2333.4650001488626,elegance,18,173,204,247,5PB8/6,119,858611,block2_target_trial
489,1,1478.0000001192093,noun,63,132,71,157,5P4/12,95,489887,block2_target_trial
264,1,5890.829999989364,apple,55,190,26,52,5R4/14,114,655926,block2_target_trial
113,1,3831.124999996973,panther,27,29,194,202,10BG7/8,73,903271,block2_target_trial
365,1,8430,randomness,2,238,234,140,10Y9/6,129,793533,block2_target_trial
482,1,2841.7350000236183,regret,44,216,65,0,10R5/16,117,406027,block2_target_trial
448,1,3111.069999999134,magazine,26,64,196,164,10G7/8,36,1226485,block1_target_trial
77,1,7459.030000027269,magazine,77,99,14,38,5R2/8,28,161020,block1_target_trial
489,1,1614.0000000596046,weariness,58,93,100,0,5GY4/8,97,493677,block2_target_trial
588,1,2167.330000025686,bracelet,42,226,110,159,5RP6/12,89,287204,block2_target_trial
271,1,2496.465000003809,flag,72,0,79,142,10B3/10,64,346510,block2_target_trial
491,1,2541.3249998819083,jeans,40,96,151,219,5PB6/10,121,865078,block2_target_trial
448,1,2802.6350000000093,panther,80,46,52,38,5GY2/2,37,1229803,block1_target_trial
77,1,3467.4449999583885,panther,28,99,185,228,10B7/8,29,165004,block1_target_trial
489,1,1939.0000000130383,magic,49,0,147,152,10BG5/10,99,497663,block2_target_trial
113,1,3192.7900000009686,weariness,49,0,147,152,10BG5/10,75,910432,block2_target_trial
448,1,2465.320000002859,modesty,4,203,237,224,10G9/2,38,1232778,block1_target_trial
588,1,2336.3200000021607,elegance,64,169,50,112,5RP4/12,91,292592,block2_target_trial
77,1,2374.869999999646,dream,18,173,204,247,5PB8/6,30,167897,block1_target_trial
365,1,3994,shyness,20,246,186,205,5RP8/6,131,801998,block2_target_trial
482,1,6138.9799999888055,shyness,7,229,228,239,10PB9/2,119,414647,block2_target_trial
