ID,Table,Concept
28,29,Barack Obama
29,30,Barack Obama
3,31,Barack Obama
30,32,Barack Obama
31,33,Barack Obama
32,34,Barack Obama
33,11,Barack Obama
34,11,Barack Obama
35,35,Barack Obama
36,36,Barack Obama
37,17,Barack Obama
38,37,Barack Obama
39,38,Barack Obama
4,28,Barack Obama
40,39,Barack Obama
41,18,Barack Obama
42,0,Barack Obama
43,1,Barack Obama
44,40,Barack Obama
45,41,Barack Obama
46,42,Barack Obama
47,43,Barack Obama
48,19,Barack Obama
49,44,Barack Obama
5,4,Barack Obama
50,6,Barack Obama
51,45,Barack Obama
52,2,Barack Obama
53,46,Barack Obama
54,47,Barack Obama
55,14,Barack Obama
56,8,Barack Obama
57,4,Barack Obama
58,4,Barack Obama
59,48,Barack Obama
6,15,Barack Obama
60,5,Barack Obama
61,2,Barack Obama
62,49,Barack Obama
63,50,Barack Obama
64,13,Barack Obama
65,51,Barack Obama
66,52,Barack Obama
67,53,Barack Obama
68,9,Barack Obama
69,54,Barack Obama
7,55,Barack Obama
70,3,Barack Obama
71,56,Barack Obama
72,15,Barack Obama
73,10,Barack Obama
74,3,Barack Obama
75,57,Barack Obama
76,58,Barack Obama
77,10,Barack Obama
78,59,Barack Obama
79,60,Barack Obama
8,61,Barack Obama
80,11,Barack Obama
81,62,Barack Obama
82,63,Barack Obama
83,18,Barack Obama
84,64,Barack Obama
85,14,Barack Obama
86,38,Barack Obama
87,4,Barack Obama
88,65,Barack Obama
89,66,Barack Obama
9,67,Barack Obama
90,68,Barack Obama
91,69,Barack Obama
92,70,Barack Obama
93,5,Barack Obama
94,71,Barack Obama
95,11,Barack Obama
96,37,Barack Obama
97,29,Barack Obama
98,72,Barack Obama
99,35,Barack Obama
0,18,Bernie Sanders
1,12,Bernie Sanders
10,1,Bernie Sanders
11,19,Bernie Sanders
12,3,Bernie Sanders
13,20,Bernie Sanders
14,12,Bernie Sanders
15,2,Bernie Sanders
16,3,Bernie Sanders
17,8,Bernie Sanders
18,21,Bernie Sanders
19,13,Bernie Sanders
2,22,Bernie Sanders
20,23,Bernie Sanders
21,24,Bernie Sanders
22,17,Bernie Sanders
23,25,Bernie Sanders
24,9,Bernie Sanders
25,10,Bernie Sanders
26,26,Bernie Sanders
27,27,Bernie Sanders
28,28,Bernie Sanders
29,9,Bernie Sanders
3,11,Bernie Sanders
30,29,Bernie Sanders
31,30,Bernie Sanders
32,31,Bernie Sanders
33,6,Bernie Sanders
34,32,Bernie Sanders
35,33,Bernie Sanders
36,34,Bernie Sanders
37,35,Bernie Sanders
38,36,Bernie Sanders
39,37,Bernie Sanders
4,38,Bernie Sanders
40,3,Bernie Sanders
41,39,Bernie Sanders
42,40,Bernie Sanders
43,41,Bernie Sanders
44,33,Bernie Sanders
45,42,Bernie Sanders
46,43,Bernie Sanders
47,44,Bernie Sanders
48,16,Bernie Sanders
49,33,Bernie Sanders
5,7,Bernie Sanders
50,45,Bernie Sanders
51,46,Bernie Sanders
52,47,Bernie Sanders
53,48,Bernie Sanders
54,49,Bernie Sanders
55,50,Bernie Sanders
56,15,Bernie Sanders
57,51,Bernie Sanders
58,14,Bernie Sanders
59,8,Bernie Sanders
6,52,Bernie Sanders
60,7,Bernie Sanders
61,1,Bernie Sanders
62,53,Bernie Sanders
63,5,Bernie Sanders
64,54,Bernie Sanders
65,11,Bernie Sanders
66,55,Bernie Sanders
67,56,Bernie Sanders
68,1,Bernie Sanders
69,44,Bernie Sanders
7,57,Bernie Sanders
70,0,Bernie Sanders
71,58,Bernie Sanders
72,59,Bernie Sanders
73,60,Bernie Sanders
74,61,Bernie Sanders
75,6,Bernie Sanders
76,0,Bernie Sanders
77,62,Bernie Sanders
78,63,Bernie Sanders
79,64,Bernie Sanders
8,65,Bernie Sanders
80,66,Bernie Sanders
81,7,Bernie Sanders
82,67,Bernie Sanders
83,4,Bernie Sanders
84,0,Bernie Sanders
85,68,Bernie Sanders
